bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF680YEV	155	ENCFF638YZB	135	H3K27ac-human	fibroblastofdermis	ENCSR000APN
ENCFF450EBG	175	ENCFF780ZFP	190	H3K27ac-human	endothelialcellofumbilicalveinmalenewborn	ENCSR000ALB
ENCFF851NCB	220	ENCFF780ZFP	190	H3K27ac-human	endothelialcellofumbilicalveinmalenewborn	ENCSR000ALB
ENCFF937ZTN	220	ENCFF579VWV	400	H3K27ac-human	gastroesophagealsphinctermaleadult37years	ENCSR600TOW
ENCFF096GIM	215	ENCFF107RUY	190	H3K27ac-human	MCF7	ENCSR752UOD
ENCFF692SZU	195	ENCFF107RUY	190	H3K27ac-human	MCF7	ENCSR752UOD
ENCFF540ZGA	220	ENCFF587DDD	100	H3K27ac-human	gastrocnemiusmedialisfemaleadult51years	ENCSR601VHO
ENCFF302FHM	200	ENCFF408COK	140	H3K27ac-human	myotubeoriginatedfromskeletalmusclemyoblast	ENCSR000ANV
ENCFF198UAJ	215	ENCFF408COK	140	H3K27ac-human	myotubeoriginatedfromskeletalmusclemyoblast	ENCSR000ANV
ENCFF810CHL	245	ENCFF944NDZ	515	H3K27ac-human	neutrophil	ENCSR267YXV
ENCFF191UXI	200	ENCFF944NDZ	515	H3K27ac-human	neutrophil	ENCSR267YXV
ENCFF065GIK	230	ENCFF639VKM	465	H3K27ac-human	heartleftventriclefemaleadult53years	ENCSR854OXF
ENCFF988TNK	190	ENCFF813ZYQ	130	H3K27ac-human	mammaryepithelialcellfemaleadult50years	ENCSR000ALW
ENCFF068FTW	175	ENCFF813ZYQ	130	H3K27ac-human	mammaryepithelialcellfemaleadult50years	ENCSR000ALW
ENCFF527YUB	205	ENCFF736RVR	540	H3K27ac-human	gastrocnemiusmedialisfemaleadult53years	ENCSR736ALU
ENCFF829OGO	215	ENCFF736RVR	540	H3K27ac-human	gastrocnemiusmedialisfemaleadult53years	ENCSR736ALU
ENCFF399WFF	240	ENCFF123TAC	90	H3K27ac-human	spleenmaleadult37years	ENCSR426VHO
ENCFF396LLO	240	ENCFF123TAC	90	H3K27ac-human	spleenmaleadult37years	ENCSR426VHO
ENCFF286OJD	190	ENCFF925HTZ	455	H3K27ac-human	tibialnervefemaleadult53years	ENCSR771YJT
ENCFF605DAC	180	ENCFF550VRT	150	H3K27ac-human	MM1S	ENCSR758OEC
ENCFF937ZTU	215	ENCFF550VRT	150	H3K27ac-human	MM1S	ENCSR758OEC
ENCFF238AHH	280	ENCFF114ODP	210	H3K27ac-human	A549treatedwith002ethanolfor1hour	ENCSR000AUI
ENCFF999CRP	240	ENCFF114ODP	210	H3K27ac-human	A549treatedwith002ethanolfor1hour	ENCSR000AUI
ENCFF823SXL	215	ENCFF893ZJC	1150	H3K27ac-human	ascendingaortafemaleadult51years	ENCSR982QIF
